t,x,y,z,accuracy
1487862078.032,9.19036865234375,-25.78582763671875,-32.4859619140625,3.0
1487862078.049,9.06524658203125,-25.860595703125,-32.4432373046875,3.0
1487862078.066,7.53326416015625,-26.7852783203125,-31.55059814453125,3.0
1487862078.083,7.58819580078125,-26.39312744140625,-31.92901611328125,3.0
1487862078.099,7.70263671875,-25.59967041015625,-32.69500732421875,3.0
1487862078.116,7.7972412109375,-25.69732666015625,-33.16192626953125,3.0
1487862078.1330001,7.8704833984375,-25.76904296875,-33.51287841796875,3.0
1487862078.15,6.9122314453125,-24.530029296875,-34.7076416015625,3.0
1487862078.167,6.6925048828125,-24.24468994140625,-34.98382568359375,3.0
1487862078.183,6.524658203125,-23.736572265625,-33.51287841796875,3.0
1487862078.2,6.37664794921875,-23.94561767578125,-33.48388671875,3.0
1487862078.217,5.68389892578125,-24.92218017578125,-33.349609375,3.0
1487862078.234,5.54351806640625,-25.3448486328125,-33.349609375,3.0
1487862078.25,5.34820556640625,-25.93841552734375,-33.349609375,3.0
1487862078.267,5.34820556640625,-24.37896728515625,-33.563232421875,3.0
1487862078.284,5.34820556640625,-23.56719970703125,-33.6761474609375,3.0
1487862078.301,5.0445556640625,-24.17755126953125,-33.9691162109375,3.0
1487862078.318,4.99725341796875,-24.23095703125,-34.02862548828125,3.0
1487862078.334,4.33807373046875,-23.56719970703125,-35.31036376953125,3.0
1487862078.351,4.9530029296875,-23.3917236328125,-35.22491455078125,3.0
1487862078.368,6.6925048828125,-22.88970947265625,-34.98382568359375,3.0
1487862078.385,6.1004638671875,-22.97515869140625,-35.2294921875,3.0
1487862078.402,5.51605224609375,-23.05908203125,-35.47515869140625,3.0
1487862078.418,5.39093017578125,-21.673583984375,-34.3780517578125,3.0
1487862078.435,5.34820556640625,-21.197509765625,-34.002685546875,3.0
1487862078.4520001,3.192138671875,-20.697021484375,-37.0635986328125,3.0
1487862078.469,3.106689453125,-20.85418701171875,-36.94915771484375,3.0
1487862078.4850001,2.65655517578125,-22.2137451171875,-35.638427734375,3.0
1487862078.502,2.3040771484375,-21.74224853515625,-35.638427734375,3.0
1487862078.519,1.64794921875,-20.8587646484375,-35.638427734375,3.0
1487862078.536,0.85601806640625,-23.2513427734375,-34.67559814453125,3.0
1487862078.553,0.30364990234375,-24.92218017578125,-34.002685546875,3.0
1487862078.569,0.72174072265625,-27.31475830078125,-32.7789306640625,3.0
1487862078.586,0.80718994140625,-27.801513671875,-32.53173828125,3.0
1487862078.603,0.97503662109375,-29.66461181640625,-32.04193115234375,3.0
1487862078.6200001,0.811767578125,-29.89501953125,-31.81915283203125,3.0
1487862078.637,0.13427734375,-30.84869384765625,-30.89752197265625,3.0
1487862078.653,0.64544677734375,-30.18798828125,-30.96771240234375,3.0
1487862078.67,1.312255859375,-29.32586669921875,-31.060791015625,3.0
1487862078.687,1.7669677734375,-29.78363037109375,-31.94427490234375,3.0
1487862078.704,1.98516845703125,-30.0018310546875,-32.36846923828125,3.0
1487862078.72,2.29339599609375,-30.3131103515625,-32.06787109375,3.0
1487862078.737,2.3651123046875,-30.30853271484375,-32.0220947265625,3.0
1487862078.754,3.497314453125,-29.4952392578125,-31.55059814453125,3.0
1487862078.7710001,3.2135009765625,-29.400634765625,-31.73370361328125,3.0
1487862078.788,2.48870849609375,-29.156494140625,-32.2052001953125,3.0
1487862078.8040001,2.13775634765625,-29.33349609375,-31.8634033203125,3.0
1487862078.821,1.8157958984375,-29.4952392578125,-31.55059814453125,3.0
1487862078.838,2.0721435546875,-30.2703857421875,-32.54852294921875,3.0
1487862078.855,2.15301513671875,-30.50994873046875,-32.8582763671875,3.0
1487862078.871,1.312255859375,-28.30963134765625,-32.36846923828125,3.0
1487862078.888,1.3946533203125,-28.2257080078125,-32.49053955078125,3.0
1487862078.905,1.98516845703125,-27.63214111328125,-33.349609375,3.0
1487862078.922,1.922607421875,-27.6947021484375,-33.40911865234375,3.0
1487862078.9390001,1.8157958984375,-27.801513671875,-33.51287841796875,3.0
1487862078.955,1.3031005859375,-26.25579833984375,-33.612060546875,3.0
1487862078.9720001,0.97503662109375,-25.26092529296875,-33.6761474609375,3.0
1487862078.989,0.26092529296875,-24.542236328125,-36.03515625,3.0
